"","sgCtu1_input","sgCtu1_polysome","sgCtu2_input","sgCtu2_polysome","sgCtu1_TE","sgCtu2_TE"
"Golga7",0.224545279499837,0.483455488322999,0.214824646969427,0.611612489304949,0.258910208823162,0.396787842335523
"Htra4",-0.0885128743723325,-0.235290065476338,-0.595480829029738,-0.288867873304302,-0.146777191104005,0.306612955725436
"Mtus1",-0.230787248539123,-0.110466802678015,-0.531848019919341,-0.333656500402737,0.120320445861108,0.198191519516604
"Sap30",-0.052489263809492,0.188134075848843,-0.458010917107584,-0.232717497368104,0.240623339658335,0.22529341973948
"Ddx60",-0.0866343128661375,-0.0409060728615902,-0.595545390372981,-0.480395089411758,0.0457282400045473,0.115150300961223
"Ap1m1",0.372216147982196,0.317349715919086,0.510752595228124,0.160797729770108,-0.0548664320631103,-0.349954865458016
"Tbc1d9",-0.304969934837553,-0.254761833946688,-0.391792927817518,-0.503434052988665,0.050208100890865,-0.111641125171148
"Tecr",0.254221136843437,0.382220919021299,0.373507226643779,0.31026709170153,0.127999782177862,-0.0632401349422489
"Nlrc5",-0.328852723945233,-0.423621278116396,-0.684592343052766,-0.290992586636526,-0.0947685541711634,0.393599756416239
"Ccl22",0.412548779507496,0.534850740001052,0.30633586945893,0.415069572160305,0.122301960493556,0.108733702701375
"Ccl17",0.516051389980785,0.50770438457625,0.575359156755054,0.757582563878366,-0.00834700540453426,0.182223407123312
"Maml2",-0.235959362651534,-0.380559217630498,-0.781170343035111,-0.55956501929084,-0.144599854978964,0.221605323744271
"Plet1",0.27638385851527,0.543796355813669,0.320933442808002,0.452758115998861,0.267412497298398,0.131824673190859
"Pkm",0.115439314345627,0.123869127223861,0.261797029096249,0.0673088037257727,0.00842981287823363,-0.194488225370476
"Bcl2a1d",0.133602630456046,0.367025103602218,0.118423290921593,0.0811617404818179,0.233422473146172,-0.0372615504397746
"Bcl2a1a",0.144808642324247,0.338471699732791,0.0950601968760072,0.164389403315413,0.193663057408545,0.0693292064394058
"Bcl2a1b",0.119122910423451,0.304854409929295,0.084576767756511,0.120509922500041,0.185731499505843,0.03593315474353
"Camp",-0.289831316453117,-0.362413910740902,-0.317605857192159,-0.60126197267262,-0.0725825942877849,-0.283656115480461
