"","LSG2h_Input","LSG2h_Pool1","LSG2h_Pool2","LSG2h_Pool3","LSG6h_Input","LSG6h_Pool1","LSG6h_Pool2","LSG6h_Pool3"
"Xrn1",0.954325036725781,1.17655044513905,0.96882685924196,0.435144016560566,1.12888630340921,1.2530971154913,1.18984168196142,1.12562849368127
"Atp1b3",0.483575504875023,0.585764412179391,0.469235412001466,0.444932595873002,0.862094321362193,1.00693441090186,0.880971445471574,1.00101831062431
"Rasa2",1.59797748414743,1.67365661811882,1.67650377199917,1.84879966934852,1.09020975745246,1.14106906828933,1.36222691556925,1.49136977416337
"Zfp949",0.555264170687983,0.219695729197058,0.324717543301096,0.193482255278191,1.65869920670195,1.49252267919866,1.25423776850772,1.48362596291979
"Cmtm6",0.266772414905421,0.298844555454462,0.199790318147825,0.233881267342473,0.817620992613994,1.07705450558118,1.1265703081398,0.788852213902771
"Armc8",0.787181290438478,0.969189588503866,0.694881400335963,0.910134496356304,1.14055635080374,1.3276979083888,1.27772679574084,1.44615716027749
"Mras",-1.09121935940422,-0.763209925451396,-0.880388525860142,-1.61899095531412,-2.20556340210417,-1.86802351216056,-1.852175028624,-2.48193230170691
"Nck1",1.16917393026297,1.18619518994055,1.10410849532996,1.2351399900378,0.532652838185723,0.611339922784694,0.486988311169361,0.573975940553792
"Map4",0.444137110007675,0.499930026641778,0.311713344370259,0.365763301265808,0.953391035347983,0.969772593054191,1.05423034145252,1.12968120196143
"Ptgs2",1.8381293599127,2.19902661820353,1.67821832591216,1.6738998203723,2.84170203999009,3.36026772826983,2.70414296960166,2.68727625842257
"Lrrfip2",0.919851685525567,1.18729525220976,1.05076228834579,1.06312629180222,0.828325854973262,1.02008511524469,0.860106728341062,0.80542331422127
"Myd88",1.15100285983635,1.23758646142094,1.18071335766072,1.1441852236918,1.26195656940768,1.32442359553278,1.47314634746097,1.36964283763836
"Wdr48",1.16908870591705,0.883773298070643,1.16504680642224,0.525000244831024,1.25344004918596,0.885736137987621,0.749037510981412,0.749011260215598
"Csrnp1",2.35423097933672,2.80776069601699,2.53148788478004,2.997497201364,1.68087001805013,2.028581294213,1.55011794513856,2.02671757560521
"Slc25a38",-0.988522144392248,-1.12843814408576,-1.35885788828283,-0.935608848938027,-0.310594550650253,-0.519059215107588,-0.71728025916731,-0.270082847898218
"Ss18l2",-0.83476064608883,-0.891311188720283,-0.966909882076889,-0.332488917089161,-1.19642941852777,-1.45919795908866,-1.33146264137576,-0.242290399949001
"Pccb",-0.132364734304069,-0.0760203502854724,-0.37169494529685,-0.10601127297391,-1.03737485621358,-0.933814799012719,-1.38815052732984,-1.42117962512972
"Rab6b",-0.741412294735424,-0.858146944746608,-1.11598143454034,-0.987843986040554,-1.82211941646375,-1.80741811589201,-2.05927632217868,-2.28275424648304
"Dnajc13",0.479207803944554,0.805440739971545,0.53943100268347,0.448201807817783,0.886174623033421,0.945366802317596,0.856806067624619,1.29469048137694
"Acpp",0.426406484128719,0.647903943729431,0.70586517418349,0.542689635374813,1.61952254380445,2.07766578094595,1.97862025254305,1.75975664854312
"Cish",2.92136057713379,3.2790471275328,2.83474290908516,3.11382706031949,1.41983530851332,1.70893855157279,1.37125650228316,1.67313608688189
"Uba7",0.566107164107132,0.497868046462391,0.354104999492901,0.272518157888597,1.73668223740266,1.61550258867067,1.76797849791487,2.03964403843424
"Nckipsd",-1.56661429501226,-1.86647190757741,-1.78666503205625,-1.72825476117946,-1.58421107962557,-1.90815603273561,-1.35515854152339,-1.7209030045824
"Prkar2a",-0.544527620043577,-0.67020456064188,-0.755290821575097,-0.690394610244169,-1.95453355005398,-1.85666433500314,-1.9496047820502,-2.29458334030973
"Qars",-0.89386125239641,-1.08186106679929,-0.335377877166076,-0.0644994985903447,-1.21252408488742,-1.40404614182523,-0.617340125295742,-0.499758533568462
"Nt5m",-1.3993853181683,-1.13238083211638,-1.78754228128335,-0.527182081230551,-0.196455548915333,-0.202524303153141,-0.416531010049261,-0.335251381781518
"Chsy1",-1.44590730218872,-1.18050063806825,-1.1998260877297,-1.63907768496899,-1.67571344039998,-1.68352582622355,-1.49546895721342,-1.99162630129618
"Oas3",0.978420539189762,1.16105682662459,1.07898559279873,1.02096255122229,2.44124953847044,2.55444922246085,2.78109452382381,3.01244525334166
