"","sgCtu1-g1-R1-input","sgCtu1-g1-R2-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgCtu2-g2-R1-input","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome"
"Patl2",167.508522377475,712.678315088528,250.350779398601,302.949432693908,177.599800995626,205.861130669455,310.186328375748,315.309732298684,187.976873263857,185.248664944719,287.007599923509,138.417113953434,200.975993841362,316.326229316712,318.954658438289,171.126601481701,159.902529314369,317.865796149265,316.856958565691,177.487091105077,186.675127952769,375.221432932336,283.542106646267
"B2m",4768.95503746098,4339.78398874646,6621.64415807667,6999.80912392238,4721.89247576791,5038.72769069214,7254.77411487834,7633.65143673249,5264.72597760183,4753.1016675435,7691.2592190884,4198.65245658749,4932.46758841714,7049.84062565371,7773.76754788036,4244.92735085018,4378.25644321976,6541.39981839833,6197.36859145064,4621.65349770817,4931.57339205569,7149.82378796342,6670.60618870355
"Sord",22.0405950496678,15.1074665871301,14.5864306665059,15.9860859812529,22.7692052558495,21.4610641435679,13.6266826338479,12.680016044183,19.0331489630419,23.1042024240239,14.3892699148643,0,22.6475452158463,9.96303084462084,13.0390269172885,22.9814858815602,25.7968493318554,9.63229685300802,13.0932627506484,21.7030847154395,24.2435231107493,9.62106238288042,15.9360887086449
"Gatm",21.6207741915789,11.1663883470092,21.7308048705087,18.6067558142452,20.1250394842025,18.9847875116177,21.515814685023,21.6969163422687,22.1726374517911,18.815398381241,21.3894552788523,0,18.1180361726771,21.4205163159348,20.0600414112131,24.3109933292538,18.2095407048391,27.8266353531343,21.6038835385698,15.6335779729861,21.378379470388,16.4932497992236,20.4463024941105
"AA467197",1843.22347743936,1273.6251179324,2642.52540870556,2391.62328958876,1850.47534585765,1872.89055929829,2391.12420532889,2532.3400930905,1851.12090017874,1632.09746105515,2402.23027740856,876.641721705081,1693.86862255111,2163.97029945165,2509.26043002512,1858.46148224022,1777.32704587857,2606.07142634161,2268.7351031186,1810.00048037831,1634.23385332914,2300.80834699169,2157.38559404769
"Slc30a4",11.5450735974451,9.85269560030224,11.0142435645044,9.17234441547299,9.84217259446397,8.08917033103712,13.6266826338479,10.9893472382919,14.520134260465,12.0363210232939,11.6669756066467,0,10.5688544340616,12.9519400980071,9.27776915268607,9.68641140462456,9.29445306809498,11.7728072647876,14.075257456947,11.4033156979428,8.59543092108384,16.4932497992236,12.0272367612415
"Bloc1s6",36.9442355118242,44.6655533880368,36.9126000540149,53.4616645930425,37.8997093936075,43.0872133959324,51.2793583326382,46.7751702963196,37.870079895537,43.4414344978653,43.556708931481,0,41.7721389536721,38.8558202940213,57.9233695748779,38.3657863477287,36.4190814096783,48.1614842650401,39.9344513894775,34.3938715405694,37.4672629893398,38.4842495315217,36.6830721217865
"Sqor",27.2883557757792,22.3327766940184,30.6612726255123,31.1859710126082,29.5265177833919,34.3377026297086,35.859691141705,32.9680417148758,35.5154635289751,39.2909789725916,28.7785398297285,0,36.0683127511627,30.8853956183246,30.5915631521,24.8807822354082,29.4008209296882,23.5456145295752,29.787172757725,29.6118359253031,29.5330190621855,38.4842495315217,32.4735392553519
"Sema6d",33.7955790761573,24.3033158140789,23.8145806800096,24.6342964301274,38.4873017873069,36.8139792616587,22.5916054192742,25.360032088366,34.3381553456942,42.7496919103197,24.8895479608463,0,35.2295147802054,27.8964863649384,24.0720496934557,40.6449419723462,33.5738406745472,10.7025520588978,26.1865255012967,34.3938715405694,28.4310407389696,23.3654372155667,24.0544735224829
"Dut",52.6875176901583,49.2634780015112,64.0016855775258,53.1995976097433,53.3240097282153,43.2522985047291,55.5825212696428,53.5378455198838,43.5604027813949,35.9706145523726,52.8902894167984,92.2780759689559,34.726235997631,41.3465780051765,43.6305900693885,55.0795942615906,47.4206789188519,69.5665883828357,56.9556929653204,55.1773340223038,40.7731979589874,65.9729991968943,60.4368647252383
