"","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome"
"Slc16a12",1.2500018233119,1.68955529772491,2.60448992874992,1.99999635821674,0.996499206662944,1.60727659806636,1.3968045467038,2.1653121194051,0.812095685827828,1.41999283346537,3.14330129608867
"Pank1",1.07143013426735,1.47836088550929,1.30224496437496,1.7142825927572,0.711785147616388,1.60727659806636,0.349201136675949,1.62398408955383,1.62419137165566,2.36665472244228,1.69254685174005
"Kif20b",1.96428857949013,2.74552735880297,2.60448992874992,3.71427895097394,2.84714059046555,1.92873191767963,3.14281023008354,2.1653121194051,4.06047842913914,0.946661888976912,3.14330129608867
"Gm50137",0,0.211194412215613,0,0.285713765459534,0.142357029523278,0.321455319613272,0.349201136675949,0,0.324838274331131,0,0
"Gm50140",0.178571689044558,0.422388824431227,0,0,0.142357029523278,0.160727659806636,0,0,0.324838274331131,0,0
"Gm41836",0.178571689044558,0,0,0,0,0.160727659806636,0,0.270664014925638,0,0.473330944488456,0
"A830019P07Rik",1.78571689044558,2.11194412215613,2.60448992874992,0.571427530919067,1.85064138380261,2.57164255690618,1.04760341002785,1.35332007462819,2.11144878315235,0.946661888976912,0.725377222174308
"Htr7",0.892858445222788,0.63358323664684,0,0.857141296378601,0.427071088569833,0,0.349201136675949,0.811992044776913,0.649676548662262,0.473330944488456,0.725377222174308
"Rpp30",44.6429222611394,46.6739650996506,44.2763287887487,56.2856117955281,54.6650993369386,48.2182979419908,60.4117966449392,70.1019798657402,50.9996090699876,51.5930729492417,71.570552587865
"Ankrd1",0.178571689044558,0,0,0.285713765459534,0.142357029523278,0.321455319613272,0,0,0,0,0
"Gm32081",0,0.211194412215613,0,0,0,0,0,0.811992044776913,0,0,0
"Gm32027",0,0.63358323664684,0,0,0.711785147616388,0.321455319613272,0.349201136675949,0,0.162419137165566,0,0.241792407391436
"Gm50147",0,0,0,0,0,0,0,0,0,0,0
"Gm47735",0,0,0,0,0,0,0,0,0,0,0
"Pcgf5",25.3571798443272,16.8955529772491,28.6493892162491,17.7142534584911,26.3360504618064,21.8589617337025,23.7456772939645,24.630425358233,20.6272304200268,19.4065687240267,22.2449014800121
"F530104D19Rik",0,0,0,0,0,0,0,0,0,0,0
"Hectd2",2.32143195757925,1.05597206107807,2.60448992874992,1.14285506183813,1.70828435427933,2.41091489709954,3.84121250343544,0.270664014925638,1.94902964598679,1.89332377795382,0.967169629565744
"Hectd2os",1.07143013426735,1.26716647329368,0,0,0.996499206662944,1.60727659806636,2.79360909340759,1.08265605970255,0.812095685827828,0.473330944488456,0.725377222174308
"Ppp1r3c",0,0,0,0,0,0,0,0,0,0,0
"Tnks2",29.6429003813966,28.3000512368922,24.7426543231243,25.9999526568176,22.2076966056313,26.1986085484817,24.0948784306405,22.1944492239023,24.2004514376693,29.8198495027727,19.8269774060977
