"","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome"
"Rpl24",2055.49314928661,2142.17824990284,2547.07309091437,2457.89991953972,1952.11560959293,2555.04043834868,2413.08822576653,1944.82426538428,1895.25865522291,2608.39666364305,2484.28119067064
"Pcnp",53.810957159799,53.3615830558031,56.9197852781797,55.2154590448301,59.1205659282659,52.0664038937301,62.8660259217733,55.5357952928574,54.4881583516283,59.9032683612482,52.2856190790946
"Tfg",19.7876271037356,21.0553234346693,15.7140511504177,12.9918727164306,21.1144878315235,13.7265973901652,11.3642431473975,19.8214574839459,20.4858579849145,14.3246946081246,13.4285469765981
"Tomm70a",20.7841263103985,19.2873191767963,24.7932807039924,20.5704651343485,24.5252897120004,26.979863835842,22.2449014800121,22.5000328196143,24.7097462292268,18.2314295012495,24.2856700640604
"Nit2",30.6067613475047,26.6807915279016,32.4757057108633,33.8330018657047,31.3468934729542,34.5531589476573,34.8181066643668,23.9286063319707,25.3433294658736,22.1381643943743,29.999945373251
"Tbc1d23",26.7631215503762,23.9484213111888,26.1900852506962,23.8184333134561,26.6367384951528,16.0932521126075,23.9374483317522,21.785746063436,25.5545238780892,19.5336744656244,20.5713911130864
"Cmss1",172.394362752689,170.853502374454,351.994745769357,258.484134253984,145.365127763181,433.097814206937,213.019110911855,147.32164346176,171.489862719078,420.625123493112,293.142323361481
"Filip1l",78.2963662378027,78.7565533052516,78.9194568887645,81.7405325075426,56.3594405964513,88.0395556748528,53.1943296261159,72.5001057520904,64.2031013135465,76.8324528981227,77.1427166740741
"Cldnd1",86.6954309796761,93.8649533270754,106.85554782284,95.2737332538245,80.5598920341205,75.2596201736645,110.982714992669,67.1429550807537,66.9486286723494,67.716738147498,78.2855717359122
"Epha6",100.504062843434,96.5973235437882,95.6811114492101,82.5525245523195,97.6139014365049,81.8862533965029,94.5408312900514,97.8572855964176,89.5464307794201,84.6459226843725,80.2855680941289
