"","sgCtu1-g1-R1-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome"
"Hmg20b",8.55009041588935,13.5369494649661,19.6437605691981,8.78630648372194,11.4558259563735,15.5209295154035,9.84382891356412,6.67996047805738,17.6740284054381,15.8066411679677
"Mfsd12",48.654085938037,56.1639392695401,46.0077550173325,46.0792962257417,43.127815365171,49.2127033415234,47.7332835997354,52.3263570781162,53.0220852163142,55.6393769112463
"4930404N11Rik",4.07147162661398,5.76040402764513,4.13552854088382,4.6860301246517,3.90845826746862,10.2210999247779,6.31490911436189,4.45330698537159,12.4757847567798,8.53558623070256
"Dohh",13.8430035304875,15.2650706732596,18.0929373663667,16.401105436281,16.5772540309876,17.0351665412966,15.2300749228728,12.8032575829433,13.5154334865115,13.5937114044522
"Smim24",17.1001808317787,25.6337979230208,23.5208185762767,12.3008290772107,16.3077051849553,17.4137257977698,14.6728770598409,10.5766040902575,11.4361360270482,22.4454304585141
"Nfic",8.75366399722005,7.20050503455642,6.46176334513096,6.05278891100845,4.85187922858174,4.92127033415234,6.87210697739382,10.9477130057052,11.4361360270482,7.90332058398385
"Ncln",13.8430035304875,10.080707048379,11.3727034874305,14.2533416291489,13.0731190325675,12.1138962071442,13.0012834707451,14.8443566179053,14.5550822162431,13.2775785810929
"Gna15",40.1039955221477,31.6822221520482,34.635051529902,43.9315324186097,51.0795063231244,52.998295906256,46.2474226316503,40.0797628683443,46.7841928379243,41.7295326834347
"Tle5",80.6151382069568,52.9957170543352,54.0203415652949,74.195476973652,66.7133393929989,62.4622773180874,81.3508880026619,87.3961495879174,42.6255979189977,52.1619158542934
"Zfp938",20.7645052957313,28.2259797354612,30.7579935228234,17.5726129674439,18.4640959532138,26.1205886966547,24.1452407313837,20.5965448073436,27.0308669730229,27.8196884556232
"1190007I07Rik",16.0823129251252,31.6822221520482,29.9825819214077,19.9156280297697,17.6554494151169,23.0921146448687,16.3444706489366,13.5454754138386,31.1894618919495,28.4519541023419
"Tdg",14.0465771118182,19.0093332912289,13.9574088254829,9.95781401488487,11.4558259563735,13.249573976564,12.0726203656918,9.46327734391462,18.7136771351697,15.174375521249
"Nfyb",16.896607250448,20.161414096758,16.8005846973405,16.2058541810871,18.1945471071815,16.6566072848233,15.9730054069154,14.2876932447338,14.5550822162431,18.3357037548425
"Txnrd1",145.147963488788,142.858019885599,165.421141635353,146.047938884978,130.19209263361,126.438791662068,151.372086123675,156.607962318901,156.986958189479,152.059888035849
"Chst11",62.2935158871939,68.2607877275948,59.9651638428153,62.4804016620227,55.9313855517061,60.1909217792479,60.9202996914911,57.521881894383,65.497869973094,49.6328532674186
"Slc41a2",27.075286316983,20.7374544995225,19.3852900353929,22.8443968576771,21.5639076825855,20.8207591060291,21.7307166582453,28.2042775740201,22.8722720540963,23.3938289285922
"Washc4",19.5430638077471,23.6176565133451,20.9361132382243,16.0106029258933,16.3077051849553,22.7135553883954,23.5880428683518,21.7098715536865,24.9515695135596,27.8196884556232
"Appl2",9.16081115988145,10.080707048379,7.75411601415716,13.081834097986,9.97330730319579,6.81406661651863,11.5154225026599,11.133267463429,5.19824364865826,6.00652364382773
"Ckap4",26.4645655729909,26.7858787285499,29.9825819214077,25.3826631751967,17.6554494151169,22.7135553883954,26.9312300465433,24.6787428772675,46.7841928379243,35.0907433928883
"Tcp11l2",10.9929733918577,6.04842422902739,7.75411601415716,9.76256275969105,11.0515026873251,9.46398141183143,9.47236367154283,10.7621585479813,6.23789237838991,8.2194534073432
"Cry1",13.4358563678261,11.232787853908,13.4404677578724,17.7678642226377,16.7120284540038,20.4421998495559,14.3014118178196,12.2465942097719,14.5550822162431,14.2259770511709
"Pwp1",22.5966675277076,24.4817171174918,27.13940604955,23.4301506232585,28.3026288333935,18.5494035671896,22.8451123843092,24.8642973349914,6.23789237838991,23.7099617519515
"Rtcb",44.1754671487617,35.4264847700176,38.2536390031753,45.8840449705479,49.866536515979,32.9346553131734,36.4035937180862,37.296446002487,23.911920783828,27.8196884556232
"Fbxo7",10.3822526478656,11.232787853908,9.30493921698859,9.37206024930341,10.3776305722443,11.3567776941977,9.47236367154283,10.2054951748099,10.3964872973165,12.9614457577335
"Hsp90b1",433.408154653058,486.754140336014,444.0523770774,436.191304102996,365.777784065857,396.730100783973,526.923445807196,437.908520228206,575.965396271335,548.490448528479
"Igf1",509.544674070739,548.390463431817,601.46093216479,515.463313711687,509.17777015505,523.926010958988,502.963937696823,495.244847664865,481.357361865755,567.7745507534
"Washc3",71.2507534657446,108.007575518346,112.176211671474,81.2245221606295,81.8080747708087,110.160743633718,64.4492194906934,64.3873968301642,96.6873318650436,106.220628648743
"Dram1",35.0146559888802,36.2905453741643,33.3426988608758,38.8549997835704,43.5321386342195,41.6415182120583,37.3322568231394,41.1930896146872,43.6652466487294,30.0326182191386
"Gnptab",14.860871437141,14.6890302704951,15.5082320283143,17.3773617122501,16.8468028770199,9.84254066830468,12.6298182287238,20.225435891896,16.6343796757064,15.4905083446083
"Chpt1",32.3681994315811,17.8572524856999,14.7328204268986,33.5832158933372,32.2110871008621,15.1423702589303,34.5462675079797,38.7808816642776,11.4361360270482,18.9679694015612
