"","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome","sgCtu1-g1-R1-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome"
"Gm36235",0,0,0,0,0,0,0,0,0,0
"Gm48607",0,0,0,0.316132823359354,0,0,0,0,0,0
"Gm36372",0,0,0,0,0,0,0,0,0.134774423016159,0
"Gm48606",0.185732621010644,0.185554457723816,0,0,0.407147162661398,0,0,0.390502510387642,0.134774423016159,0
"Gm48605",0,0,0,0,0,0,0,0,0,0
"Lpin1",9.47236367154283,9.64883180163844,13.5154334865115,10.748515994218,8.55009041588935,5.47238382626288,5.42788120991001,8.98155773891576,11.5906003793897,6.81406661651863
"Ntsr2",0,0,0,0,0,0,0,0,0,0
"Greb1",1.11439572606386,1.29888120406671,1.03964872973165,0.632265646718708,1.22144148798419,0.288020201382257,1.55082320283143,0,0.673872115080797,0.757118512946514
"Gm48140",0,0,0,0,0,0,0,0,0,0
"Gm48227",0,0,0,0,0,0,0,0,0,0
"E2f6",2.22879145212772,2.59776240813343,3.11894618919495,1.58066411679677,1.62858865064559,1.15208080552903,2.32623480424715,2.53826631751967,1.88684192222623,1.13567776941977
"Gm36495",0,0,0,0,0,0,0,0,0,0
"Rock2",24.7024385944156,24.4931884195437,30.1498131622179,36.0391418629664,24.0216825970225,24.1936969161096,29.7241113876024,22.2586430920956,20.3509378754401,24.6063516707617
"Pqlc3",47.1760857367035,58.4496541830021,41.585949189266,50.2651189141373,57.4077499352571,67.9727675262126,69.0116325259987,66.7759292762868,71.8347674676129,55.2696514450955
"2410004P03Rik",0.185732621010644,0.927772288619081,0,0.632265646718708,0.610720743992097,0.86406060414677,1.29235266902619,1.17150753116293,0.404323269048478,0
"Gm48538",0.185732621010644,0,0,0,0,0,0,0.195251255193821,0,0
"Kcnf1",0,0,1.03964872973165,0,0,0.288020201382257,0.258470533805239,0,0,0
"Pdia6",150.257690397611,140.650278954653,163.224850567869,162.492271206708,141.483639024836,133.641373441367,132.078442774477,133.551858552574,126.148859943125,128.710147200907
"Atp6v1c2",0.557197863031931,0.742217830895265,0,0,0,0,0,0.390502510387642,0.134774423016159,0
"Gm46336",0,0,0,0,0.610720743992097,0,0,0.195251255193821,0.134774423016159,0
"Nol10",4.64331552526609,5.93774264716212,4.1585949189266,5.69039082046837,5.70006027725957,5.18436362488062,5.42788120991001,5.07653263503934,5.52575134366253,3.78559256473257
"Gm36752",0,0,0,0,0,0,0,0,0,0
"Odc1",47.9190162207461,48.9863768390875,49.9031390271193,44.2585952703096,55.1684405406194,59.0441412833626,44.1984612806958,49.0080650536491,46.3624015175588,42.0200774685315
"Gm36862",0,0,0,0,0,0,0,0.390502510387642,0,0.378559256473257
"Gm48313",0.185732621010644,0.185554457723816,0,0,0,0,0.258470533805239,0,0.134774423016159,0
"Hpcal1",54.9768558191505,62.7174067106499,63.4185725136307,70.4976196091359,55.9827348659422,63.0764241027142,69.5285735936092,51.3510801159749,54.0445436294799,68.8977846781328
"5730507C01Rik",0.371465242021287,0,1.03964872973165,0,0,0.288020201382257,0.516941067610477,0,0,0.378559256473257
"Gm49764",0,0,0,0,0,0,0,0,0,0
"Gm40849",0.185732621010644,0.185554457723816,0,0,0.203573581330699,0,0,0,0,0
"Gm49957",0,0,0,0,0.203573581330699,0,0,0,0,0
"Gm5784",0.185732621010644,0,0,0,0.610720743992097,0.288020201382257,0,0,0,0
"Gm29737",0,0,0,0,0,0,0,0,0,0
"Gm49769",0,0,0,0,0,0,0,0,0.134774423016159,0
"Gm49371",0.557197863031931,0.185554457723816,0,0.948398470078062,0.610720743992097,0.288020201382257,0.516941067610477,0.390502510387642,0.269548846032319,0.378559256473257
"Gm21863",0,0,0,0,0,0,0,0,0,0
"Gm49692",3.71465242021287,2.22665349268579,7.27754110812156,2.84519541023419,2.64645655729909,4.89634342349836,4.39399907468905,3.7097738486826,3.09981172937167,4.16415182120583
"Gm10479",0.185732621010644,0,0,0,0.203573581330699,0,0,0,0,0
"Gm49698",0,0,0,0,0.407147162661398,0,0,0.390502510387642,0.134774423016159,0.378559256473257
"Gm48693",0,0.185554457723816,1.03964872973165,0,0,0,0,0,0,0
"Gm49700",0,0,0,0,0,0,0,0,0,0
"Asap2",21.7307166582453,21.153208180515,25.9912182432913,30.6648838658573,18.3216223197629,28.8020201382257,33.0842283270705,19.3298742641883,21.0248099905209,26.1205886966547
"Gm30124",0,0,0,0,0,0,0,0,0,0
"Itgb1bp1",30.2744172247349,28.7609409471915,41.585949189266,39.5166029199193,31.5539051062583,37.1546059783111,44.456931814501,37.4882409972136,37.4672895984923,38.234484903799
"Gm20535",0,0,0,0,0,0,0,0,0,0
"Cpsf3",19.5019252061176,22.0809804691341,13.5154334865115,14.5421098745303,19.9502109704085,20.161414096758,17.0590552311457,24.6016581544214,22.5073286436986,17.7922850542431
"Iah1",140.971059347079,143.43359582051,200.652204838209,229.196296935532,149.626582278064,281.107716549083,297.241113876024,178.264395991959,168.468028770199,280.512409046684
"Adam17",54.4196579561186,51.5841392472209,47.823841567656,48.3683219739812,46.61835012473,34.5624241658708,40.062932739812,52.1320851367502,50.6751830540759,35.5845701084862
"Gm49586",0.371465242021287,0.185554457723816,0,0,0.203573581330699,0,0,0.390502510387642,0.539097692064638,0
"Ywhaq",26.1882995625008,26.5342874545057,19.7533258649014,21.4970319884361,28.5003013862978,30.242121145137,30.2410524552129,34.949974679694,30.8633428707005,34.8274515955397
"Gm4419",0,0,1.03964872973165,0,0,0.288020201382257,0.258470533805239,0,0.134774423016159,0
"Gm4425",0.371465242021287,0.185554457723816,0,0,0.203573581330699,0.288020201382257,0,0.195251255193821,0.269548846032319,0
"Gm47997",0,0,0,0,0,0,0,0,0,0
"2410018L13Rik",0.185732621010644,0,0,0,0.610720743992097,0.288020201382257,0.258470533805239,0,0.134774423016159,0
"9030624G23Rik",5.75771125132996,7.05106939350501,5.19824364865826,4.42585952703096,5.90363385859027,6.04842422902739,5.68635174371525,4.29552761426406,3.90845826746862,6.43550736004537
"Taf1b",6.50064173537253,7.23662385122883,6.23789237838991,7.5871877606245,7.32864892790516,5.18436362488062,7.23717494654668,7.02904518697756,9.97330730319579,7.19262587299189
"Grhl1",3.15745455718094,3.15442578130487,2.0792974594633,1.26453129343742,3.46075088262188,1.72812120829354,1.03388213522095,2.14776380713203,1.75206749921007,1.51423702589303
"Klf11",2.41452407313837,2.96887132358106,3.11894618919495,1.89679694015612,3.05360371996048,2.59218181244031,2.06776427044191,2.92876882790731,2.56071403730703,2.6499147953128
"Cys1",0,0,0,0,0,0,0.258470533805239,0,0,0
"Rrm2",31.0173477087775,32.6575845593916,20.792974594633,29.4003525724199,33.5896409195653,28.5139999368434,27.6563471171605,30.8496983206237,33.5588313310237,24.984910927235
"Gm48896",0,0,0,0,0,0,0,0,0,0
"2900060N12Rik",0,0,0,0,0.407147162661398,0,0,0.195251255193821,0.134774423016159,0
"Mboat2",0.742930484042575,0.556663373171448,0,0.316132823359354,0.814294325322796,0,0.258470533805239,0.390502510387642,0.404323269048478,0
"Gm36236",0.185732621010644,0.556663373171448,0,0.316132823359354,0,0,0.258470533805239,0.195251255193821,0.134774423016159,0.378559256473257
"Kidins220",22.1021819002666,22.0809804691341,17.6740284054381,23.7099617519515,23.003814690369,23.3296363119628,22.2284659072505,24.01590438884,24.6637194119572,23.8492331578152
"Gm47701",0,0,0,0,0,0,0,0,0,0
"Id2",459.502504380333,528.087986681981,530.220852163142,578.206933924258,564.509541030028,695.856806539532,779.288659422794,601.178614741775,651.903884129163,743.490379713477
"Gm17746",0,0,0,0,0,0,0.258470533805239,0,0.269548846032319,0
"Gm36287",0.928663105053219,0.185554457723816,0,0,0.407147162661398,0.288020201382257,0,0.585753765581463,0.808646538096956,0
"Gm47705",0,0,0,0,0,0,0,0,0,0
"Gm47713",0.185732621010644,0,0,0,0,0,0,0.195251255193821,0.134774423016159,0
"Gm36723",2.9717219361703,3.71108915447632,1.03964872973165,2.84519541023419,3.46075088262188,2.30416161105805,1.80929373663667,2.34301506232585,3.36936057540398,2.6499147953128
"Gm47733",0,0,0,0,0,0,0,0,0,0
"Gm29687",0.557197863031931,0.185554457723816,0,0,0.203573581330699,0,0,0.390502510387642,0.134774423016159,0
"4930480M12Rik",0,0,0,0,0,0,0.258470533805239,0.195251255193821,0,0
"Gm29968",0.185732621010644,0,0,0,0,0,0,0,0,0.378559256473257
"Rnf144a",1.85732621010644,1.85554457723816,4.1585949189266,4.74199235039031,2.85003013862978,2.30416161105805,3.61858747327334,1.95251255193821,2.56071403730703,1.51423702589303
"4930549C15Rik",0.185732621010644,0,0,0,0,0,0,0.195251255193821,0,0
"Rsad2",1997.92580421149,1956.11509332447,2588.72533703181,2234.11066268055,2005.40334968872,2330.65946958522,2309.69269008361,1697.90491516547,1357.44798861876,1804.21341635154
"Cmpk2",182.575166453463,181.84336856934,142.431875973236,136.569379691241,167.948204597827,118.376302768108,106.231389393953,125.546557089627,105.663147644669,98.4254066830468
"1700020D12Rik",0,0.185554457723816,0,0,0,0,0,0,0,0
"Gm47847",1.30012834707451,2.59776240813343,0,0,3.05360371996048,0.288020201382257,0,1.56201004155057,1.75206749921007,0
"4933409F18Rik",0,0,0,0,0,0,0,0,0,0
"Gm9866",0,0.185554457723816,0,0,0,0,0,0.195251255193821,0.134774423016159,0.378559256473257
"Sox11",0,0,0,0,0,0,0,0,0,0
"Gm4166",0,0,0,0,0,0,0,0,0,0
"Gm45941",0,0,0,0,0,0,0,0,0,0.378559256473257
"Gm31025",0,0,0,0.316132823359354,0.203573581330699,0,0,0,0.134774423016159,0
